SUBJECT,COURSE_NUMBER,COURSE_SECTION_NUMBER,TITLE,CAMPUS,AUDIT,A,A_GF,B,B_GF,B+,B+_GF,C,C_GF,C+,C+_GF,D,D_GF,D+,D+_GF,F,F_GF,FN,Incomplete,IP,No Grade,NR,S,T,U,UN,W,WF,Num Grades Posted
ACCT,A321,001,Federal Tax Procedures,AIK,0,8,0,9,0,5,0,1,0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31
ACCT,A332,001,Financial Accounting II,AIK,0,2,0,4,0,1,0,7,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18
ACCT,A336,001,Managerial Accounting II,AIK,0,6,0,5,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19
ACCT,A439,001,Accounting Information Systems,AIK,0,8,0,5,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
AFCI,A101,001,Critical Inquiry,AIK,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20
AFCI,A101,002,Critical Inquiry,AIK,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21
AFCI,A101,003,Critical Inquiry,AIK,0,6,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,19
AFCI,A101,004,Critical Inquiry,AIK,0,4,0,1,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,13
AFCI,A101,005,Critical Inquiry,AIK,0,9,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,19
AFCI,A101,006,Critical Inquiry,AIK,0,7,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,14
AFCI,A101,007,Critical Inquiry,AIK,0,16,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21
AFYS,A101,001,The First-Year Seminar,AIK,0,7,0,6,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
AFYS,A101,002,The First-Year Seminar,AIK,0,6,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
ANTH,A101,001,"Primates, People & Prehistory",AIK,0,5,0,7,0,4,0,6,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,34
ANTH,A102,001,Understanding Other Cultures,AIK,0,4,0,7,0,6,0,8,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,30
ANTH,A102,002,Understanding Other Cultures,AIK,0,5,0,4,0,6,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,28
ANTH,A460,001,"Culture, Health & Healing",AIK,0,5,0,4,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,21
ARTH,A105,001,History of Western Art I,AIK,1,10,0,8,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
ARTH,A106,001,History of Western Art II,AIK,0,14,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,24
ARTH,A398,001,Topics in Art History,AIK,1,8,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15
ARTH,A398,002,Topics in Art History,AIK,0,7,0,2,0,2,0,3,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20
ARTS,A111,001,Basic Drawing I,AIK,4,10,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24
ARTS,A145,001,Introduction to Graphic Design,AIK,0,3,0,2,0,0,0,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14
ARTS,A210,001,Introduction to Painting,AIK,0,9,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16
ARTS,A220,001,Introduction to Ceramics,AIK,1,6,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
ARTS,A365,001,Digital Illustration,AIK,1,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
ARTS,A398,001,Topics in Studio Art,AIK,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
ARTS,A398,002,Topics in Studio Art,AIK,1,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
ASUP,A110,001,Emerging Leader,AIK,0,8,0,3,0,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,20
ASUP,A110,002,Emerging Leader,AIK,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,21
